Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,110,110,110,110,110,110,110,110,110,114,114,115,115,Cr,Screener
Reserves,"9,924","10,168","3,435","3,657","3,798","3,139","3,651","4,018","5,131","13,820","16,526","26,583","31,177",Cr,Screener
Borrowings +,"6,953","6,024","6,714","7,213","6,683","2,865","3,012","2,919","4,411","3,106","5,893","12,829","18,500",Cr,Screener
Other Liabilities +,"5,570","6,339","4,145","3,678","4,820","8,559","7,113","5,945","12,001","23,097","19,648","10,810","9,254",Cr,Screener
Total Liabilities,"22,557","22,641","14,404","14,658","15,411","14,673","13,886","12,992","21,652","40,137","42,180","50,338","59,045",Cr,Screener
Fixed Assets +,924,898,"1,079","1,171","1,263","1,558","1,528","1,428","1,683","1,668","1,540","1,966","2,198",Cr,Screener
CWIP,255,270,851,622,414,211,220,453,511,649,752,591,577,Cr,Screener
Investments,"6,552","6,954","1,110","3,091","3,009","1,944","2,275","2,465","3,437","9,948","14,071","18,838","22,046",Cr,Screener
Other Assets +,"14,827","14,519","11,364","9,774","10,725","10,960","9,863","8,646","16,020","27,872","25,817","28,943","34,224",Cr,Screener
Total Assets,"22,557","22,641","14,404","14,658","15,411","14,673","13,886","12,992","21,652","40,137","42,180","50,338","59,045",Cr,Screener
