Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),6,%,Growth,Screener
Compounded Sales Growth (5 Years),11,%,Growth,Screener
Compounded Sales Growth (3 Years),0,%,Growth,Screener
Compounded Profit Growth (10 Years),23,%,Growth,Screener
Compounded Profit Growth (5 Years),41,%,Growth,Screener
Compounded Profit Growth (3 Years),54,%,Growth,Screener
Stock Price CAGR (10 Years),49,%,Valuation,Screener
Stock Price CAGR (5 Years),21,%,Valuation,Screener
Stock Price CAGR (3 Years),13,%,Valuation,Screener
Stock Price CAGR (1 Year),6,%,Valuation,Screener
Return on Equity (10 Years),13,%,Profitability,Screener
Return on Equity (5 Years),15,%,Profitability,Screener
Return on Equity (3 Years),15,%,Profitability,Screener
Return on Equity (Last Year),12,%,Profitability,Screener
