Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"11,742","14,789","8,040","7,733","9,512","15,462","16,101","13,268","26,806","57,844","31,918","26,600","22,411",Cr,Screener
Operating Profit,-746,75,293,569,612,948,746,"1,004","1,306","1,804","2,939","2,593","2,239",Cr,Screener
OPM %,-6%,1%,4%,7%,6%,6%,5%,8%,5%,3%,9%,10%,10%,%,Screener
Other Income +,"1,204","1,367","1,019",680,435,364,726,179,503,"1,202","1,639","5,461","15,646",Cr,Screener
Interest,761,929,717,782,666,581,381,506,571,664,638,"1,009","1,679",Cr,Screener
Depreciation,59,82,79,79,87,101,121,122,125,131,143,155,172,Cr,Screener
Profit before tax,-362,432,516,389,293,630,970,555,"1,113","2,211","3,797","6,891","16,034",Cr,Screener
Tax %,-51%,6%,-1%,43%,33%,23%,28%,34%,35%,27%,25%,12%,,%,Screener
Net Profit +,-179,407,520,222,197,487,699,369,721,"1,623","2,844","6,040","15,310",Cr,Screener
EPS in Rs,-1.45,3.30,4.22,1.80,1.60,3.96,5.67,2.99,5.85,12.71,22.28,46.73,118.43,₹,Screener
Dividend Payout %,-86%,38%,8%,20%,22%,9%,16%,30%,15%,8%,5%,2%,,%,Screener
