Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"12,142","10,325","11,293","6,342","7,961","9,210","7,801","6,587","6,157","6,165","5,876","5,066","5,304",Cr,Screener
Expenses +,"11,900","9,825","10,709","5,743","7,171","8,275","7,090","5,848","5,532","5,645","5,296","4,400","4,830",Cr,Screener
Operating Profit,242,501,584,599,789,935,711,739,625,519,579,666,474,Cr,Screener
OPM %,2%,5%,5%,9%,10%,10%,9%,11%,10%,8%,10%,13%,9%,%,Screener
Other Income +,373,283,357,587,378,348,317,353,426,"4,364",492,"4,272","6,518",Cr,Screener
Interest,210,142,117,146,168,208,173,206,290,340,350,470,520,Cr,Screener
Depreciation,32,34,34,35,36,37,38,39,38,41,42,43,46,Cr,Screener
Profit before tax,373,608,789,"1,005",964,"1,038",818,847,724,"4,503",680,"4,425","6,426",Cr,Screener
Net Profit +,270,441,587,762,718,777,602,628,535,"4,275",504,"4,234","6,296",Cr,Screener
EPS in Rs,2.11,3.45,4.60,5.97,5.63,6.08,4.72,4.92,4.14,33.07,3.90,32.76,48.70,₹,Screener
