Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,414,414,414,414,414,414,406,406,422,432,432,432,432,Cr,Screener
Reserves,"8,919","10,786","13,152","16,451","17,703","19,912","19,292","21,228","29,422","28,104","28,756","29,838","29,445",Cr,Screener
Borrowings +,"8,960","11,768","15,508","20,207","20,285","25,160","29,066","34,118","45,075","47,818","49,973","51,746","57,456",Cr,Screener
Other Liabilities +,"2,612","2,839","2,055","2,176","2,431","1,938","3,048","2,806","3,330","3,372","3,594","4,443","4,037",Cr,Screener
Total Liabilities,"20,904","25,807","31,129","39,248","40,834","47,424","51,813","58,558","78,250","79,726","82,755","86,459","91,369",Cr,Screener
Fixed Assets +,"8,537","8,462","8,524","8,390","7,957","9,074","10,583","10,282","10,039","10,190","10,041","11,353","10,983",Cr,Screener
CWIP,661,663,857,"1,458","1,627",775,675,590,614,638,810,941,847,Cr,Screener
Investments,"1,786","4,965","5,313","10,410","10,542","13,957","15,616","21,695","33,748","45,973","46,125","52,398","51,785",Cr,Screener
Other Assets +,"9,919","11,717","16,436","18,990","20,708","23,619","24,939","25,991","33,849","22,926","25,780","21,767","27,755",Cr,Screener
Total Assets,"20,904","25,807","31,129","39,248","40,834","47,424","51,813","58,558","78,250","79,726","82,755","86,459","91,369",Cr,Screener
