Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"4,350","3,909","4,619","4,879","6,534","5,336","4,643","4,377","4,206","5,237","6,807","7,911","7,887",Cr,Screener
Operating Profit,"2,738","2,607","3,307","3,547","4,509","3,787","3,016","2,871","2,553","3,271","4,425","5,309","5,531",Cr,Screener
OPM %,63%,67%,72%,73%,69%,71%,65%,66%,61%,62%,65%,67%,70%,%,Screener
Other Income +,682,738,"1,173","1,285","1,310","2,218","3,030","2,985","1,012","-1,006","1,526","1,855","2,613",Cr,Screener
Interest,754,709,854,998,"1,519","1,867","3,460","2,327","2,494","2,680","2,763","2,944","4,800",Cr,Screener
Depreciation,456,489,519,541,471,474,553,619,600,613,656,661,665,Cr,Screener
Profit before tax,"2,210","2,148","3,106","3,293","3,829","3,664","2,032","2,910",472,"-1,028","2,532","3,560","2,680",Cr,Screener
Tax %,9%,-2%,5%,6%,37%,28%,5%,34%,69%,-53%,31%,31%,,%,Screener
Net Profit +,"2,016","2,183","2,964","3,101","2,408","2,638","1,934","1,928",148,-479,"1,738","2,457","1,941",Cr,Screener
EPS in Rs,9.74,10.55,14.31,14.97,11.63,12.74,9.52,9.49,0.70,-2.22,8.05,11.37,8.90,₹,Screener
Dividend Payout %,10%,10%,8%,9%,17%,2%,34%,53%,716%,-225%,75%,62%,,%,Screener
