Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"1,378","1,384","1,427","1,530","1,887","1,964","1,890","1,803","2,182","2,130","1,839","2,058","1,860",Cr,Screener
Expenses +,980,391,451,848,703,832,822,536,538,665,609,542,539,Cr,Screener
Operating Profit,398,993,976,681,"1,184","1,132","1,068","1,267","1,644","1,465","1,229","1,516","1,321",Cr,Screener
OPM %,29%,72%,68%,45%,63%,58%,57%,70%,75%,69%,67%,74%,71%,%,Screener
Other Income +,428,-100,450,416,588,524,852,540,521,495,589,"1,033",497,Cr,Screener
Interest,650,744,683,619,794,667,664,771,"1,402",794,921,"1,874","1,211",Cr,Screener
Depreciation,152,152,160,165,168,162,164,163,163,170,163,166,166,Cr,Screener
Profit before tax,23,-4,583,313,810,826,"1,092",872,599,995,734,509,441,Cr,Screener
Net Profit +,11,192,394,196,525,623,776,572,409,700,505,449,287,Cr,Screener
EPS in Rs,0.05,0.89,1.82,0.91,2.43,2.88,3.59,2.65,1.89,3.24,2.34,2.08,1.24,₹,Screener
