Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"3,835","4,543","5,523","6,301","7,183","8,337","9,794","4,654","6,098","6,525","7,274","8,202","8,963",Cr,Screener
Operating Profit,617,681,748,774,835,"1,022","1,418",715,"1,421","1,694","1,798","2,050","2,254",Cr,Screener
OPM %,16%,15%,14%,12%,12%,12%,14%,15%,23%,26%,25%,25%,25%,%,Screener
Other Income +,20,28,4,26,7,8,173,137,131,139,180,342,362,Cr,Screener
Interest,87,83,134,200,240,268,426,340,244,239,250,254,242,Cr,Screener
Depreciation,129,158,200,241,272,300,482,421,363,367,399,449,502,Cr,Screener
Profit before tax,420,467,417,359,330,462,682,91,945,"1,228","1,329","1,688","1,872",Cr,Screener
Tax %,21%,26%,20%,21%,29%,35%,31%,-15%,30%,12%,24%,23%,,%,Screener
Net Profit +,331,347,334,285,233,303,470,105,665,"1,085","1,010","1,296","1,444",Cr,Screener
EPS in Rs,23.77,24.91,24.00,20.50,16.76,21.76,33.80,7.30,46.26,75.45,70.28,90.16,100.40,₹,Screener
Dividend Payout %,24%,23%,25%,29%,30%,28%,18%,41%,25%,20%,23%,14%,,%,Screener
