Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"1,639","1,641","1,688","1,866","1,824","1,895","1,937","2,135","2,055","2,075","2,168","2,356","2,364",Cr,Screener
Expenses +,"1,222","1,218","1,271","1,387","1,374","1,444","1,466","1,595","1,543","1,554","1,622","1,763","1,770",Cr,Screener
Operating Profit,417,423,418,479,450,450,471,540,512,521,546,593,594,Cr,Screener
OPM %,25%,26%,25%,26%,25%,24%,24%,25%,25%,25%,25%,25%,25%,%,Screener
Other Income +,55,43,18,65,52,46,27,121,108,92,32,141,97,Cr,Screener
Interest,60,61,61,60,61,69,64,65,62,63,59,58,62,Cr,Screener
Depreciation,89,97,93,93,97,115,103,108,108,130,123,122,127,Cr,Screener
Profit before tax,323,309,282,391,344,312,332,488,449,420,397,554,502,Cr,Screener
Net Profit +,246,227,214,295,263,239,252,370,342,333,307,420,384,Cr,Screener
EPS in Rs,17.08,15.78,14.89,20.50,18.28,16.61,17.51,25.71,23.76,23.19,21.34,29.20,26.67,₹,Screener
