Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,96,96,96,96,96,96,96,96,96,96,96,96,96,Cr,Screener
Reserves,"3,505","4,134","5,830","6,999","7,702","8,747","9,357","11,995","13,253","15,490","18,193","18,888","18,954",Cr,Screener
Borrowings +,48,40,36,39,11,614,663,648,714,892,"1,280","1,199","1,572",Cr,Screener
Other Liabilities +,"3,071","3,004","2,764","3,224","3,778","4,226","3,471","4,843","5,845","6,052","6,467","6,471","6,039",Cr,Screener
Total Liabilities,"6,720","7,274","8,725","10,358","11,588","13,683","13,588","17,583","19,908","22,530","26,036","26,653","26,661",Cr,Screener
Fixed Assets +,"2,012","1,965","2,629","2,605","2,569","5,221","4,961","4,603","4,554","4,643","5,494","7,931","7,771",Cr,Screener
CWIP,38,140,93,220,"1,392",179,108,110,225,978,"2,561",386,317,Cr,Screener
Investments,"1,671","1,894","2,797","2,914","2,577","2,964","2,658","5,341","3,811","4,912","5,471","6,044","6,890",Cr,Screener
Other Assets +,"2,999","3,275","3,207","4,620","5,050","5,318","5,861","7,529","11,318","11,997","12,510","12,293","11,683",Cr,Screener
Total Assets,"6,720","7,274","8,725","10,358","11,588","13,683","13,588","17,583","19,908","22,530","26,036","26,653","26,661",Cr,Screener
