Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),10,%,Growth,Screener
Compounded Sales Growth (5 Years),11,%,Growth,Screener
Compounded Sales Growth (3 Years),5,%,Growth,Screener
Compounded Sales Growth (TTM),0,%,Growth,Screener
Compounded Profit Growth (10 Years),11,%,Growth,Screener
Compounded Profit Growth (5 Years),8,%,Growth,Screener
Compounded Profit Growth (3 Years),7,%,Growth,Screener
Stock Price CAGR (10 Years),11,%,Valuation,Screener
Stock Price CAGR (5 Years),0,%,Valuation,Screener
Stock Price CAGR (1 Year),9,%,Valuation,Screener
Return on Equity (10 Years),27,%,Profitability,Screener
Return on Equity (5 Years),26,%,Profitability,Screener
Return on Equity (3 Years),27,%,Profitability,Screener
Return on Equity (Last Year),21,%,Profitability,Screener
