Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"9,936","11,110","11,830","12,647","14,168","16,392","17,194","18,517","25,189","30,078","31,227","29,553","30,042",Cr,Screener
Operating Profit,"1,719","2,015","2,415","2,674","2,926","3,507","3,857","4,493","4,588","5,820","7,044","5,552","5,830",Cr,Screener
OPM %,17%,18%,20%,21%,21%,21%,22%,24%,18%,19%,23%,19%,19%,%,Screener
Other Income +,225,173,249,300,275,285,324,366,398,518,822,391,529,Cr,Screener
Interest,29,31,27,22,24,81,78,72,70,93,124,144,122,Cr,Screener
Depreciation,212,223,235,295,311,541,690,697,722,756,743,902,"1,087",Cr,Screener
Profit before tax,"1,703","1,934","2,403","2,657","2,866","3,170","3,413","4,090","4,194","5,490","6,999","4,897","5,150",Cr,Screener
Tax %,31%,31%,32%,32%,34%,33%,22%,25%,25%,25%,24%,27%,,%,Screener
Net Profit +,"1,169","1,327","1,623","1,802","1,895","2,132","2,654","3,053","3,135","4,100","5,315","3,585","3,775",Cr,Screener
EPS in Rs,12.19,13.84,16.92,18.78,19.75,22.23,27.67,31.82,32.68,42.75,55.41,37.37,39.35,₹,Screener
Dividend Payout %,43%,44%,44%,55%,44%,47%,43%,56%,59%,60%,60%,66%,,%,Screener
