Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"7,522","7,626","8,114","7,342","7,913","7,577","7,976","6,967","7,418","7,192","7,868","7,356","7,624",Cr,Screener
Expenses +,"6,027","5,878","6,114","5,757","6,016","6,023","6,380","5,843","5,909","5,868","6,348","5,997","5,998",Cr,Screener
Operating Profit,"1,495","1,748","2,000","1,585","1,897","1,554","1,596","1,123","1,509","1,324","1,520","1,359","1,627",Cr,Screener
OPM %,20%,23%,25%,22%,24%,21%,20%,16%,20%,18%,19%,18%,21%,%,Screener
Other Income +,162,125,217,172,238,197,224,-19,227,-42,248,232,91,Cr,Screener
Interest,25,25,26,28,31,33,33,42,35,34,30,30,28,Cr,Screener
Depreciation,189,194,172,179,190,196,198,210,224,269,269,273,275,Cr,Screener
Profit before tax,"1,443","1,654","2,018","1,551","1,914","1,522","1,589",853,"1,476",979,"1,468","1,288","1,415",Cr,Screener
Net Profit +,"1,086","1,234","1,508","1,160","1,444","1,209","1,189",597,"1,104",694,"1,100",956,"1,025",Cr,Screener
EPS in Rs,11.32,12.86,15.73,12.10,15.05,12.61,12.40,6.23,11.51,7.24,11.46,9.96,10.69,₹,Screener
