Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,470,474,477,479,513,514,564,613,614,615,617,619,621,Cr,Screener
Reserves,"37,751","44,202","52,688","55,284","62,932","66,162","84,384","100,990","114,560","124,801","150,444","179,106","189,327",Cr,Screener
Deposits,"280,945","322,442","357,968","414,379","453,623","548,471","640,105","697,985","821,972","946,945","1,068,641","1,172,952","1,203,487",Cr,Screener
Borrowing,"50,291","79,758","108,580","105,031","148,016","152,776","147,954","142,873","185,134","186,300","196,812","184,147","199,506",Cr,Screener
Other Liabilities +,"13,789","15,056","20,108","26,295","26,245","33,073","42,158","44,336","53,149","58,664","60,694","73,106","83,674",Cr,Screener
Total Liabilities,"383,245","461,932","539,821","601,468","691,330","800,997","915,165","986,798","1,175,429","1,317,326","1,477,209","1,609,930","1,676,614",Cr,Screener
Fixed Assets +,"2,311","2,413","3,316","3,466","3,626","3,764","3,839","4,135","4,363","4,597","5,442","6,190","6,413",Cr,Screener
CWIP,100,101,207,281,346,273,474,110,209,136,242,101,0,Cr,Screener
Investments,"113,548","117,550","131,524","128,793","153,876","174,969","156,734","226,120","275,597","288,815","331,527","396,142","391,851",Cr,Screener
Other Assets +,"267,286","341,868","404,774","468,927","533,482","621,991","754,118","756,433","895,259","1,023,777","1,139,997","1,207,496","1,278,350",Cr,Screener
Total Assets,"383,245","461,932","539,821","601,468","691,330","800,997","915,165","986,798","1,175,429","1,317,326","1,477,209","1,609,930","1,676,614",Cr,Screener
