Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,80,80,80,80,80,80,80,80,80,159,159,160,160,Cr,Screener
Reserves,"2,383","2,481","2,616","2,686","2,800","3,055","3,456","3,721","4,289","5,089","6,410","8,212","9,836",Cr,Screener
Borrowings +,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,Cr,Screener
Other Liabilities +,74,80,51,48,47,58,65,68,70,70,82,153,228,Cr,Screener
Total Liabilities,"2,537","2,640","2,747","2,814","2,927","3,193","3,600","3,869","4,438","5,318","6,651","8,525","10,223",Cr,Screener
Fixed Assets +,70,75,75,74,73,73,158,159,110,115,113,127,126,Cr,Screener
CWIP,1,1,1,1,8,33,-0,2,4,4,4,5,6,Cr,Screener
Investments,"2,427","2,514","2,379","2,666","2,758","2,937","3,340","3,495","4,191","5,078","6,401","7,884","9,558",Cr,Screener
Other Assets +,40,51,292,73,87,149,102,213,133,120,132,509,533,Cr,Screener
Total Assets,"2,537","2,640","2,747","2,814","2,927","3,193","3,600","3,869","4,438","5,318","6,651","8,525","10,223",Cr,Screener
