Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,154,209,249,163,252,448,815,392,696,"1,147","1,733","2,299","2,034",Cr,Screener
Operating Profit,105,158,194,103,168,327,685,250,535,978,"1,540","2,054","1,765",Cr,Screener
OPM %,68%,76%,78%,63%,67%,73%,84%,64%,77%,85%,89%,89%,87%,%,Screener
Other Income +,3,2,2,2,0,0,-0,-0,33,0,1,-1,46,Cr,Screener
Interest,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,Cr,Screener
Depreciation,1,3,1,1,1,2,3,5,4,3,3,4,6,Cr,Screener
Profit before tax,106,158,195,104,167,326,682,245,563,975,"1,537","2,049","1,806",Cr,Screener
Tax %,21%,20%,16%,33%,15%,6%,2%,27%,25%,25%,24%,24%,,%,Screener
Net Profit +,84,126,163,70,142,307,667,179,424,733,"1,170","1,559","1,423",Cr,Screener
EPS in Rs,0.52,0.79,1.03,0.44,0.89,1.93,4.19,1.12,2.67,4.60,7.33,9.76,8.90,₹,Screener
Dividend Payout %,33%,22%,17%,40%,20%,13%,12%,27%,15%,17%,14%,10%,,%,Screener
