Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,32.84,31.06,595.21,"1,011.05",49.40,43.63,909.11,"1,217.11",70.82,64.64,434.37,"1,472.51",62.62,Cr,Screener
Expenses +,42.91,36.88,53.78,51.60,49.04,39.09,59.41,60.48,64.93,60.71,63.85,76.70,67.46,Cr,Screener
Operating Profit,-10.07,-5.82,541.43,959.45,0.36,4.54,849.70,"1,156.63",5.89,3.93,370.52,"1,395.81",-4.84,Cr,Screener
OPM %,-30.66%,-18.74%,90.96%,94.90%,0.73%,10.41%,93.47%,95.03%,8.32%,6.08%,85.30%,94.79%,-7.73%,%,Screener
Other Income +,17.00,20.45,8.06,8.02,7.90,10.64,8.63,10.03,9.57,9.28,19.91,8.77,8.42,Cr,Screener
Interest,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,Cr,Screener
Depreciation,0.80,0.83,0.83,0.88,0.89,0.88,0.89,0.91,0.91,1.55,1.31,1.35,1.39,Cr,Screener
Profit before tax,6.13,13.80,548.66,966.59,7.37,14.30,857.44,"1,165.75",14.55,11.66,389.12,"1,403.23",2.19,Cr,Screener
Net Profit +,4.93,9.46,403.51,754.34,4.39,7.82,633.04,907.57,10.69,7.57,329.92,"1,085.18",0.62,Cr,Screener
EPS in Rs,0.03,0.06,2.53,4.73,0.03,0.05,3.96,5.68,0.07,0.05,2.06,6.79,0.00,₹,Screener
