Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,50,50,54,109,115,115,120,120,121,121,124,124,622,Cr,Screener
Reserves,"3,941","4,750","7,373","9,491","15,702","19,448","31,693","35,818","41,935","51,372","71,887","87,872","92,700",Cr,Screener
Borrowing,"19,750","26,655","37,025","49,250","63,629","86,352","104,206","99,854","123,040","161,685","220,379","275,218","296,810",Cr,Screener
Other Liabilities +,878,"1,325","2,522","4,880","2,169","2,585","1,984","2,491","2,921","3,347","4,438","5,034","5,533",Cr,Screener
Total Liabilities,"24,618","32,780","46,973","63,730","81,615","108,500","138,004","138,284","168,017","216,525","296,827","368,248","395,664",Cr,Screener
Fixed Assets +,220,249,287,361,465,654,"1,228","1,227","1,598","2,147","3,060","3,575","3,539",Cr,Screener
CWIP,0,0,0,0,0,0,0,51,33,80,43,39,33,Cr,Screener
Investments,28,332,"1,034","4,075","3,653","10,370","20,139","20,169","16,372","28,738","37,153","41,716","41,772",Cr,Screener
Other Assets +,"24,370","32,198","45,652","59,295","77,497","97,475","116,636","116,836","150,014","185,560","256,571","322,917","350,319",Cr,Screener
Total Assets,"24,618","32,780","46,973","63,730","81,615","108,500","138,004","138,284","168,017","216,525","296,827","368,248","395,664",Cr,Screener
