Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),28,%,Growth,Screener
Compounded Sales Growth (5 Years),21,%,Growth,Screener
Compounded Sales Growth (3 Years),31,%,Growth,Screener
Compounded Sales Growth (TTM),20,%,Growth,Screener
Compounded Profit Growth (10 Years),32,%,Growth,Screener
Compounded Profit Growth (5 Years),25,%,Growth,Screener
Compounded Profit Growth (3 Years),32,%,Growth,Screener
Compounded Profit Growth (TTM),14,%,Growth,Screener
Stock Price CAGR (10 Years),32,%,Valuation,Screener
Stock Price CAGR (5 Years),14,%,Valuation,Screener
Stock Price CAGR (3 Years),17,%,Valuation,Screener
Stock Price CAGR (1 Year),17,%,Valuation,Screener
Return on Equity (10 Years),19,%,Profitability,Screener
Return on Equity (5 Years),18,%,Profitability,Screener
Return on Equity (3 Years),20,%,Profitability,Screener
Return on Equity (Last Year),18,%,Profitability,Screener
