Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,80,80,240,223,244,244,244,244,244,731,731,731,731,Cr,Screener
Reserves,"6,937","7,805","8,744","7,285","7,517","8,775","9,609","10,564","11,741","12,851","15,351","18,967","20,557",Cr,Screener
Borrowings +,0,0,0,50,67,33,8,3,53,61,63,61,59,Cr,Screener
Other Liabilities +,"7,514","7,317","9,141","9,598","11,028","11,411","14,050","18,243","21,413","21,411","23,011","20,659","21,159",Cr,Screener
Total Liabilities,"14,531","15,202","18,125","17,157","18,856","20,463","23,911","29,053","33,450","35,054","39,156","40,418","42,506",Cr,Screener
Fixed Assets +,651,771,976,"1,255","1,607","2,084","2,520","2,480","2,524","2,672","2,759","3,173","3,878",Cr,Screener
CWIP,197,140,430,656,833,721,683,736,859,841,891,"1,044",561,Cr,Screener
Investments,12,19,319,460,903,"1,019","1,162","1,331","1,554",664,768,820,842,Cr,Screener
Other Assets +,"13,671","14,272","16,399","14,786","15,513","16,638","19,547","24,506","28,513","30,877","34,738","35,381","37,226",Cr,Screener
Total Assets,"14,531","15,202","18,125","17,157","18,856","20,463","23,911","29,053","33,450","35,054","39,156","40,418","42,506",Cr,Screener
