Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"6,276","6,843","7,328","8,600","10,322","12,085","12,921","14,064","15,314","17,646","20,169","23,658","26,422",Cr,Screener
Operating Profit,894,"1,148","1,375","1,766","2,003","2,865","2,734","3,184","3,313","4,051","5,003","6,770","7,842",Cr,Screener
OPM %,14%,17%,19%,21%,19%,24%,21%,23%,22%,23%,25%,29%,30%,%,Screener
Other Income +,429,479,537,471,200,170,102,126,234,360,756,768,676,Cr,Screener
Interest,6,6,8,16,5,15,7,9,8,18,12,12,11,Cr,Screener
Depreciation,142,154,172,192,251,316,350,366,380,408,412,436,489,Cr,Screener
Profit before tax,"1,175","1,467","1,732","2,029","1,948","2,703","2,479","2,935","3,158","3,985","5,335","7,090","8,019",Cr,Screener
Tax %,21%,20%,25%,24%,28%,29%,28%,30%,26%,25%,25%,25%,,%,Screener
Net Profit +,932,"1,167","1,307","1,548","1,399","1,927","1,794","2,065","2,349","3,007","4,020","5,288","5,950",Cr,Screener
EPS in Rs,1.18,1.47,1.65,2.10,1.91,2.64,2.45,2.83,3.21,4.11,5.50,7.23,8.15,₹,Screener
Dividend Payout %,20%,20%,31%,32%,35%,43%,38%,47%,47%,44%,40%,33%,,%,Screener
