Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"4,131","6,457","3,511","3,993","4,137","8,529","4,199","4,583","5,756","9,120","4,417","5,764","7,122",Cr,Screener
Expenses +,"3,278","4,632","2,846","2,989","3,087","6,249","3,262","3,195","4,103","6,331","3,177","4,068","5,004",Cr,Screener
Operating Profit,853,"1,825",664,"1,004","1,049","2,280",937,"1,389","1,653","2,789","1,240","1,695","2,118",Cr,Screener
OPM %,21%,28%,19%,25%,25%,27%,22%,30%,29%,31%,28%,29%,30%,%,Screener
Other Income +,57,68,142,171,223,221,202,167,205,194,164,159,160,Cr,Screener
Interest,10,2,1,2,1,4,1,1,1,6,1,2,2,Cr,Screener
Depreciation,101,109,101,100,100,111,100,103,103,130,113,118,127,Cr,Screener
Profit before tax,800,"1,781",704,"1,073","1,172","2,386","1,037","1,451","1,754","2,848","1,289","1,734","2,148",Cr,Screener
Net Profit +,599,"1,365",531,812,893,"1,784",776,"1,091","1,316","2,105",969,"1,286","1,590",Cr,Screener
EPS in Rs,0.82,1.87,0.73,1.11,1.22,2.44,1.06,1.49,1.80,2.88,1.33,1.76,2.18,₹,Screener
