Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"1,999","1,999","1,999","1,999","1,999","1,999","2,728","2,746","2,795","2,837","2,877","2,900","2,900",Cr,Screener
Reserves,"64,729","76,274","109,730","99,209","100,862","96,307","98,701","74,614","72,076","76,157","97,985","137,231","136,464",Cr,Screener
Borrowings +,"10,365","21,570","45,571","60,095","65,416","83,790","118,800","130,407","129,905","181,696","169,299","161,457","161,021",Cr,Screener
Other Liabilities +,"21,111","26,581","27,728","30,336","36,661","40,812","80,143","69,980","66,465","74,888","81,652","90,890","94,323",Cr,Screener
Total Liabilities,"98,204","126,424","185,028","191,638","204,937","222,908","300,373","277,747","271,241","335,577","351,813","392,479","394,709",Cr,Screener
Fixed Assets +,"39,878","53,444","91,926","111,523","122,609","133,812","161,679","157,388","163,736","187,409","221,717","234,288","230,782",Cr,Screener
CWIP,"1,244","9,067","3,830","9,600","5,543","5,636","1,259","1,306","3,386","40,556","12,012","5,258","5,150",Cr,Screener
Investments,"34,524","43,117","69,983","45,959","48,128","37,580","38,727","52,273","46,726","46,700","57,641","88,352","90,492",Cr,Screener
Other Assets +,"22,558","20,796","19,289","24,556","28,657","45,879","98,708","66,779","57,393","60,913","60,444","64,581","68,286",Cr,Screener
Total Assets,"98,204","126,424","185,028","191,638","204,937","222,908","300,373","277,747","271,241","335,577","351,813","392,479","394,709",Cr,Screener
