Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),7,%,Growth,Screener
Compounded Sales Growth (5 Years),15,%,Growth,Screener
Compounded Sales Growth (3 Years),15,%,Growth,Screener
Compounded Sales Growth (TTM),13,%,Growth,Screener
Compounded Profit Growth (10 Years),3,%,Growth,Screener
Compounded Profit Growth (5 Years),20,%,Growth,Screener
Compounded Profit Growth (3 Years),108,%,Growth,Screener
Compounded Profit Growth (TTM),75,%,Growth,Screener
Stock Price CAGR (10 Years),20,%,Valuation,Screener
Stock Price CAGR (5 Years),29,%,Valuation,Screener
Stock Price CAGR (3 Years),36,%,Valuation,Screener
Stock Price CAGR (1 Year),20,%,Valuation,Screener
Return on Equity (10 Years),2,%,Profitability,Screener
Return on Equity (5 Years),0,%,Profitability,Screener
Return on Equity (3 Years),7,%,Profitability,Screener
Return on Equity (Last Year),11,%,Profitability,Screener
