Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"49,918","55,496","60,300","62,276","53,663","49,606","54,317","64,326","70,795","84,720","94,120","108,944","118,805",Cr,Screener
Operating Profit,"16,299","19,486","22,413","23,925","17,864","12,476","20,259","27,984","34,700","43,799","50,122","52,593","68,560",Cr,Screener
OPM %,33%,35%,37%,38%,33%,25%,37%,44%,49%,52%,53%,48%,58%,%,Screener
Other Income +,646,"5,138",962,"-14,977",414,"5,248","-39,425","-12,635","-1,406","-1,643",508,"13,022","1,910",Cr,Screener
Interest,"1,336","1,409","3,545","5,255","5,911","7,848","11,463","11,817","13,221","14,532","14,405","15,240","15,173",Cr,Screener
Depreciation,"7,231","7,560","9,575","12,203","13,049","15,120","20,392","21,998","24,330","26,355","29,108","32,511","33,977",Cr,Screener
Profit before tax,"8,377","15,655","10,254","-8,510",-681,"-5,244","-51,021","-18,465","-4,256","1,269","7,116","17,864","21,320",Cr,Screener
Tax %,21%,16%,24%,17%,-112%,-64%,-29%,36%,-9%,107%,30%,-32%,,%,Screener
Net Profit +,"6,600","13,200","7,780","-9,926",79,"-1,869","-36,088","-25,198","-3,864",-90,"4,988","23,502","21,718",Cr,Screener
EPS in Rs,12.01,24.01,14.15,-18.05,0.14,-3.40,-61.74,-42.82,-6.57,-0.16,8.82,41.22,38.08,₹,Screener
Dividend Payout %,11%,12%,7%,-4%,"2,695%",-53%,-3%,0%,-43%,"-2,533%",92%,39%,,%,Screener
