Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"21,606","21,829","22,651","23,258","23,866","24,345","24,917","26,984","28,434","28,608","29,249","30,092","30,855",Cr,Screener
Expenses +,"10,359","10,371","10,515","10,786","10,942","11,360","11,491","12,032","12,395","12,267","12,404","12,617","12,957",Cr,Screener
Operating Profit,"11,247","11,458","12,135","12,471","12,924","12,986","13,426","14,953","16,039","16,341","16,845","17,476","17,898",Cr,Screener
OPM %,52%,52%,54%,54%,54%,53%,54%,55%,56%,57%,58%,58%,58%,%,Screener
Other Income +,"-3,937",138,185,-759,89,599,"1,172",408,"3,046",230,332,"1,079",269,Cr,Screener
Interest,"3,529","3,108","3,452","3,741","3,550","3,662","3,668","3,872","4,031","3,669","3,835","3,854","3,815",Cr,Screener
Depreciation,"6,661","6,706","6,931","7,113","7,458","7,607","7,928","8,137","8,230","8,216","8,279","8,623","8,859",Cr,Screener
Profit before tax,"-2,880","1,782","1,937",858,"2,006","2,315","3,002","3,352","6,824","4,686","5,063","6,078","5,493",Cr,Screener
Net Profit +,"-3,222","1,354","1,457",293,"1,414","1,824","2,469","2,518","9,197","9,318","3,764","4,545","4,091",Cr,Screener
EPS in Rs,-5.79,2.43,2.61,0.52,2.51,3.23,4.34,4.42,16.15,16.34,6.60,7.97,7.17,₹,Screener
