Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,723,723,656,"1,311","1,967","1,967","1,967","2,093","2,129","2,129","2,136","4,273","4,273",Cr,Screener
Reserves,"18,736","21,744","26,667","28,357","32,165","34,771","31,248","52,452","49,516","49,867","72,539","76,688","87,398",Cr,Screener
Borrowings +,"20,322","13,098","15,857","23,159","23,351","29,099","47,819","34,160","42,215","44,775","27,881","33,317","22,155",Cr,Screener
Other Liabilities +,"32,347","34,179","32,177","39,162","42,649","49,790","45,436","51,889","70,324","64,062","70,438","73,718","78,833",Cr,Screener
Total Liabilities,"72,127","69,745","75,357","91,990","100,131","115,627","126,469","140,594","164,184","160,833","172,993","187,995","192,658",Cr,Screener
Fixed Assets +,"19,040","20,315","23,207","31,437","43,028","46,488","56,951","63,936","83,806","86,596","86,738","88,580","88,328",Cr,Screener
CWIP,"3,065","7,666","12,664","11,623","4,408","7,066","9,505","7,350","4,997","5,673","8,781","13,958","15,333",Cr,Screener
Investments,"11,847","12,391","12,811","14,601","15,626","15,992","16,058","17,684","12,632","13,872","14,458","14,417","14,654",Cr,Screener
Other Assets +,"38,176","29,373","26,674","34,328","37,069","46,082","43,955","51,624","62,749","54,691","63,016","71,040","74,344",Cr,Screener
Total Assets,"72,127","69,745","75,357","91,990","100,131","115,627","126,469","140,594","164,184","160,833","172,993","187,995","192,658",Cr,Screener
