Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"119,158","118,112","112,978","102,986","115,466","116,527","113,096","102,756","113,136","111,179","112,515","104,912","118,999",Cr,Screener
Expenses +,"114,924","106,958","97,168","90,078","109,268","107,342","107,446","98,244","105,555","103,414","102,852","95,135","107,323",Cr,Screener
Operating Profit,"4,234","11,154","15,810","12,908","6,198","9,185","5,650","4,512","7,580","7,765","9,663","9,777","11,677",Cr,Screener
OPM %,4%,9%,14%,13%,5%,8%,5%,4%,7%,7%,9%,9%,10%,%,Screener
Other Income +,452,-627,492,771,709,"-1,301",506,924,829,-981,749,"1,191",750,Cr,Screener
Interest,978,812,679,768,502,524,443,470,429,547,374,421,361,Cr,Screener
Depreciation,"1,582","1,596","1,609","1,600","1,824","1,717","1,681","1,773","1,804","1,975","1,882","1,952","1,972",Cr,Screener
Profit before tax,"2,126","8,118","14,013","11,312","4,580","5,643","4,032","3,194","6,176","4,263","8,156","8,596","10,094",Cr,Screener
Net Profit +,"1,960","6,478","10,551","8,501","3,397","4,224","3,015","2,397","4,649","3,214","6,124","6,443","7,545",Cr,Screener
EPS in Rs,4.52,14.93,24.32,19.59,7.83,9.74,6.95,5.53,10.72,7.41,14.12,14.85,17.39,₹,Screener
