Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,24,24,Cr,Screener
Reserves,834,"1,215","1,992","2,558","3,211","4,015","4,251","3,295","2,378","3,157","3,503","3,862","3,244",Cr,Screener
Borrowings +,0,1,1,1,10,1,"1,203","1,798","2,179","2,664","2,040","1,218","2,169",Cr,Screener
Other Liabilities +,986,"1,222","1,083","1,114","1,383","1,613","1,776","2,298","2,434","2,794","2,804","2,915","3,145",Cr,Screener
Total Liabilities,"1,844","2,462","3,100","3,696","4,627","5,653","7,253","7,416","7,015","8,638","8,371","8,020","8,582",Cr,Screener
Fixed Assets +,546,526,642,839,"1,031","1,328","1,461","1,404","1,377","2,293","2,421","2,563","2,549",Cr,Screener
CWIP,97,48,74,30,200,65,39,112,535,104,187,82,71,Cr,Screener
Investments,373,661,921,600,"1,186","1,646","3,141","2,950","2,024","3,324","2,771","2,872","2,326",Cr,Screener
Other Assets +,829,"1,227","1,462","2,227","2,210","2,615","2,613","2,950","3,078","2,917","2,991","2,503","3,636",Cr,Screener
Total Assets,"1,844","2,462","3,100","3,696","4,627","5,653","7,253","7,416","7,015","8,638","8,371","8,020","8,582",Cr,Screener
