Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"6,307","7,176","7,732","8,414","9,304","10,482","10,987","12,379","13,372","15,618","16,186","17,296","18,175",Cr,Screener
Operating Profit,597,778,"1,124","1,206","1,410","1,662","1,771","2,351","2,089","2,742","3,071","3,064","3,348",Cr,Screener
OPM %,9%,11%,15%,14%,15%,16%,16%,19%,16%,18%,19%,18%,18%,%,Screener
Other Income +,15,224,115,143,156,191,354,293,359,448,207,226,329,Cr,Screener
Interest,5,1,1,1,1,2,65,98,133,155,151,137,123,Cr,Screener
Depreciation,63,117,88,96,120,135,152,167,170,195,271,285,302,Cr,Screener
Profit before tax,543,883,"1,149","1,251","1,445","1,716","1,908","2,379","2,145","2,840","2,855","2,868","3,252",Cr,Screener
Tax %,32%,29%,34%,33%,34%,35%,22%,26%,25%,25%,27%,26%,,%,Screener
Net Profit +,370,622,763,844,948,"1,122","1,484","1,760","1,603","2,139","2,082","2,131","2,433",Cr,Screener
EPS in Rs,15.42,25.94,31.80,35.15,39.48,46.70,61.73,73.07,66.56,88.82,86.44,88.46,101.02,₹,Screener
Dividend Payout %,39%,31%,31%,31%,32%,32%,57%,216%,85%,81%,85%,85%,,%,Screener
