Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"4,011","3,895","3,871","4,289","4,102","3,924","4,094","4,501","4,418","4,283","4,453","4,665","4,776",Cr,Screener
Expenses +,"3,221","3,100","3,204","3,448","3,310","3,154","3,366","3,755","3,608","3,504","3,732","3,750","3,841",Cr,Screener
Operating Profit,790,795,667,841,793,770,728,746,810,779,721,914,935,Cr,Screener
OPM %,20%,20%,17%,20%,19%,20%,18%,17%,18%,18%,16%,20%,20%,%,Screener
Other Income +,276,53,52,53,47,55,43,52,60,72,54,110,93,Cr,Screener
Interest,35,30,48,48,29,26,29,34,44,30,26,34,33,Cr,Screener
Depreciation,50,58,63,64,71,73,67,69,75,74,75,78,76,Cr,Screener
Profit before tax,981,761,607,782,740,727,676,695,751,746,674,913,919,Cr,Screener
Net Profit +,767,558,443,570,538,530,502,514,557,557,498,690,688,Cr,Screener
EPS in Rs,31.84,23.17,18.39,23.68,22.35,22.01,20.84,21.36,23.13,23.13,20.69,28.64,28.56,₹,Screener
