Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,161,161,161,161,161,161,161,161,161,161,161,162,162,Cr,Screener
Reserves,"9,931","10,930","11,825","12,640","13,952","15,621","17,242","19,766","22,352","24,477","27,812","31,938","33,083",Cr,Screener
Borrowings +,877,"1,381","1,132",324,174,0,6,52,23,50,46,117,125,Cr,Screener
Other Liabilities +,"1,955","2,721","2,121","2,482","2,807","2,637","2,997","2,984","2,912","2,908","3,034","3,349","4,075",Cr,Screener
Total Liabilities,"12,924","15,192","15,239","15,607","17,095","18,419","20,406","22,964","25,449","27,596","31,053","35,566","37,445",Cr,Screener
Fixed Assets +,"3,524","3,594","3,826","4,236","4,320","4,189","4,151","4,066","3,910","3,809","3,719","3,878","4,268",Cr,Screener
CWIP,377,361,551,556,463,297,320,355,268,504,670,638,581,Cr,Screener
Investments,"3,587","4,421","4,256","4,286","4,637","5,815","7,190","9,726","10,974","11,909","13,794","17,351","17,474",Cr,Screener
Other Assets +,"5,436","6,816","6,606","6,530","7,675","8,117","8,745","8,816","10,298","11,374","12,871","13,699","15,121",Cr,Screener
Total Assets,"12,924","15,192","15,239","15,607","17,095","18,419","20,406","22,964","25,449","27,596","31,053","35,566","37,445",Cr,Screener
