Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"9,457","10,132","12,118","10,768","11,390","12,374","12,659","11,303","15,381","14,345","16,574","19,045","19,568",Cr,Screener
Operating Profit,"1,996","1,969","2,053","1,613","2,196","2,505","2,707","3,067","3,711","3,353","4,484","5,778","5,187",Cr,Screener
OPM %,21%,19%,17%,15%,19%,20%,21%,27%,24%,23%,27%,30%,27%,%,Screener
Other Income +,273,140,280,113,257,575,893,654,742,640,"1,434","1,279","1,286",Cr,Screener
Interest,128,136,147,39,12,17,36,45,27,22,20,15,16,Cr,Screener
Depreciation,324,433,443,500,530,570,600,469,547,596,588,574,588,Cr,Screener
Profit before tax,"1,818","1,540","1,744","1,187","1,911","2,493","2,964","3,208","3,880","3,375","5,310","6,469","5,869",Cr,Screener
Tax %,24%,23%,16%,18%,23%,24%,22%,23%,24%,26%,23%,20%,,%,Screener
Net Profit +,"1,388","1,181","1,462",975,"1,469","1,888","2,318","2,468","2,958","2,513","4,077","5,158","4,616",Cr,Screener
EPS in Rs,17.29,14.71,18.20,12.12,18.24,23.44,28.75,30.61,36.66,31.14,50.50,63.86,57.15,₹,Screener
Dividend Payout %,12%,14%,11%,16%,16%,13%,14%,16%,14%,27%,26%,25%,,%,Screener
