Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"3,536","3,566","4,318","4,234","4,381","4,037","4,501","4,775","4,971","4,798","5,046","5,226","4,498",Cr,Screener
Expenses +,"2,707","2,854","3,114","3,009","3,025","3,209","3,141","3,337","3,309","3,479","3,422","3,703","3,777",Cr,Screener
Operating Profit,829,711,"1,205","1,225","1,356",828,"1,360","1,438","1,662","1,319","1,624","1,523",721,Cr,Screener
OPM %,23%,20%,28%,29%,31%,21%,30%,30%,33%,27%,32%,29%,16%,%,Screener
Other Income +,208,-1,158,319,265,595,214,289,189,588,271,255,172,Cr,Screener
Interest,6,9,0,7,9,5,5,3,4,3,6,3,4,Cr,Screener
Depreciation,130,162,136,180,135,137,138,146,143,148,146,141,153,Cr,Screener
Profit before tax,901,540,"1,226","1,358","1,477","1,281","1,430","1,578","1,704","1,756","1,744","1,633",736,Cr,Screener
Net Profit +,679,355,895,"1,030","1,114","1,038","1,056","1,178","1,438","1,485","1,303","1,211",617,Cr,Screener
EPS in Rs,8.41,4.40,11.09,12.75,13.80,12.86,13.08,14.59,17.81,18.39,16.13,14.99,7.64,₹,Screener
