Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"6,316","6,316","6,316","6,207","6,207","6,163","6,163","6,163","6,163","6,163","6,163","6,163","6,163",Cr,Screener
Reserves,"10,129","10,418","9,729","7,710","6,487","7,835","10,651","10,589","10,195","10,544","11,163","11,908","13,787",Cr,Screener
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0,520,Cr,Screener
Other Liabilities +,"7,043","5,417","5,334","4,969","5,770","5,061","5,585","5,745","6,082","6,725","6,719","7,510","8,182",Cr,Screener
Total Liabilities,"23,489","22,151","21,380","18,886","18,465","19,058","22,398","22,496","22,440","23,431","24,045","25,581","28,651",Cr,Screener
Fixed Assets +,96,89,333,321,317,301,311,353,425,554,629,611,595,Cr,Screener
CWIP,204,238,13,14,119,181,185,171,158,109,142,265,531,Cr,Screener
Investments,"9,649","11,772","11,729","11,589","12,358","12,538","12,327","13,225","13,405","13,863","14,206","14,506","15,931",Cr,Screener
Other Assets +,"13,540","10,052","9,305","6,962","5,671","6,038","9,576","8,747","8,451","8,906","9,067","10,199","11,595",Cr,Screener
Total Assets,"23,489","22,151","21,380","18,886","18,465","19,058","22,398","22,496","22,440","23,431","24,045","25,581","28,651",Cr,Screener
