Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),15,%,Growth,Screener
Compounded Sales Growth (5 Years),14,%,Growth,Screener
Compounded Sales Growth (3 Years),12,%,Growth,Screener
Compounded Profit Growth (10 Years),2,%,Growth,Screener
Compounded Profit Growth (5 Years),9,%,Growth,Screener
Compounded Profit Growth (3 Years),15,%,Growth,Screener
Stock Price CAGR (10 Years),3,%,Valuation,Screener
Stock Price CAGR (5 Years),23,%,Valuation,Screener
Stock Price CAGR (3 Years),25,%,Valuation,Screener
Stock Price CAGR (1 Year),17,%,Valuation,Screener
Return on Equity (10 Years),81,%,Profitability,Screener
Return on Equity (5 Years),79,%,Profitability,Screener
Return on Equity (3 Years),93,%,Profitability,Screener
Return on Equity (Last Year),96,%,Profitability,Screener
