Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,317,387,204,290,928,934,845,640,"1,132","1,951","1,516","1,594","1,542",Cr,Screener
Operating Profit,-401,-240,-468,-613,57,58,-207,16,452,586,755,521,422,Cr,Screener
OPM %,-126%,-62%,-230%,-211%,6%,6%,-25%,3%,40%,30%,50%,33%,27%,%,Screener
Other Income +,"16,087","14,143","17,129","15,005","9,293","10,549","11,566","7,679","10,928","14,552","15,332","16,627","16,305",Cr,Screener
Interest,259,244,-124,-136,17,18,5,2,2,2,2,4,35,Cr,Screener
Depreciation,6,7,16,18,18,26,54,20,21,43,43,47,46,Cr,Screener
Profit before tax,"15,420","13,652","16,768","14,510","9,315","10,562","11,299","7,674","11,357","15,094","16,042","17,098","16,645",Cr,Screener
Tax %,3%,2%,1%,0%,0%,1%,0%,0%,1%,2%,2%,0%,,%,Screener
Net Profit +,"15,009","13,383","16,593","14,499","9,293","10,470","11,281","7,640","11,202","14,802","15,767","17,017","16,479",Cr,Screener
EPS in Rs,23.76,21.19,26.27,23.36,14.97,16.99,18.31,12.40,18.18,24.02,25.58,27.61,26.75,₹,Screener
Dividend Payout %,122%,98%,104%,85%,110%,77%,66%,129%,94%,101%,100%,96%,,%,Screener
