Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,695,509,336,294,399,488,390,315,416,473,355,296,417,Cr,Screener
Expenses +,472,452,151,185,162,263,288,185,252,349,197,215,360,Cr,Screener
Operating Profit,224,57,185,109,236,225,102,130,164,125,159,81,57,Cr,Screener
OPM %,32%,11%,55%,37%,59%,46%,26%,41%,39%,26%,45%,27%,14%,%,Screener
Other Income +,"8,672","3,209",805,"2,149","9,167","3,212",32,"3,961","9,548","3,087",30,"8,311","4,877",Cr,Screener
Interest,1,0,1,0,1,1,2,1,1,1,2,15,18,Cr,Screener
Depreciation,11,12,11,11,11,11,11,12,11,13,11,11,11,Cr,Screener
Profit before tax,"8,883","3,254",978,"2,246","9,392","3,426",121,"4,079","9,699","3,198",175,"8,367","4,905",Cr,Screener
Net Profit +,"8,809","3,138",918,"2,196","9,316","3,336",87,"4,134","9,646","3,149",116,"8,342","4,872",Cr,Screener
EPS in Rs,14.29,5.09,1.49,3.56,15.12,5.41,0.14,6.71,15.65,5.11,0.19,13.54,7.91,₹,Screener
