Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,27,27,53,53,53,53,53,53,53,53,53,53,53,Cr,Screener
Reserves,"3,008","3,535","4,304","5,356","5,907","6,920","7,264","9,218","11,638","12,652","13,431","14,842","15,298",Cr,Screener
Borrowings +,18,27,42,36,63,106,34,0,0,0,0,2,89,Cr,Screener
Other Liabilities +,731,886,566,765,785,961,"1,164","1,452","1,617","1,647","1,878","1,927","2,635",Cr,Screener
Total Liabilities,"3,784","4,475","4,965","6,210","6,808","8,040","8,514","10,724","13,308","14,352","15,362","16,824","18,075",Cr,Screener
Fixed Assets +,"1,222","1,309","1,439","1,559","1,996","2,087","2,776","3,699","4,321","4,719","4,737","5,440","5,675",Cr,Screener
CWIP,144,218,264,444,120,492,920,711,470,212,778,"1,022","2,030",Cr,Screener
Investments,505,736,813,"1,639","1,897","1,953",979,7,79,84,89,72,74,Cr,Screener
Other Assets +,"1,913","2,212","2,450","2,568","2,795","3,508","3,839","6,307","8,438","9,337","9,758","10,290","10,296",Cr,Screener
Total Assets,"3,784","4,475","4,965","6,210","6,808","8,040","8,514","10,724","13,308","14,352","15,362","16,824","18,075",Cr,Screener
