Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"2,514","3,084","3,720","4,024","3,816","4,880","5,311","6,799","8,880","7,625","7,665","9,198","10,131",Cr,Screener
Operating Profit,"1,022","1,170","1,406","1,441","1,258","1,851","1,820","2,828","3,880","2,350","2,179","2,984","3,426",Cr,Screener
OPM %,41%,38%,38%,36%,33%,38%,34%,42%,44%,31%,28%,32%,34%,%,Screener
Other Income +,81,36,92,73,106,155,187,57,109,348,333,348,365,Cr,Screener
Interest,3,3,4,3,2,5,7,2,2,2,4,2,17,Cr,Screener
Depreciation,92,136,118,123,142,169,186,255,311,342,376,401,448,Cr,Screener
Profit before tax,"1,009","1,067","1,375","1,388","1,219","1,833","1,813","2,628","3,677","2,354","2,132","2,929","3,326",Cr,Screener
Tax %,22%,21%,19%,24%,29%,27%,24%,26%,20%,23%,26%,25%,,%,Screener
Net Profit +,792,847,"1,111","1,053",870,"1,333","1,373","1,955","2,949","1,808","1,576","2,209","2,518",Cr,Screener
EPS in Rs,29.82,31.90,41.84,39.68,32.76,50.20,51.71,73.63,111.07,68.11,59.37,83.21,94.86,₹,Screener
Dividend Payout %,34%,31%,24%,25%,31%,32%,31%,27%,27%,44%,50%,36%,,%,Screener
