Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"1,690","1,908","1,730","1,868","1,808","2,259","2,063","2,302","2,297","2,536","2,357","2,660","2,578",Cr,Screener
Expenses +,"1,280","1,419","1,239","1,394","1,317","1,542","1,442","1,573","1,550","1,655","1,614","1,765","1,671",Cr,Screener
Operating Profit,409,489,491,474,491,717,621,729,747,881,743,895,907,Cr,Screener
OPM %,24%,26%,28%,25%,27%,32%,30%,32%,33%,35%,32%,34%,35%,%,Screener
Other Income +,116,66,80,85,94,79,79,105,82,87,119,146,13,Cr,Screener
Interest,0,0,0,1,0,2,0,1,0,0,3,8,6,Cr,Screener
Depreciation,87,87,93,94,95,94,97,98,99,107,112,113,116,Cr,Screener
Profit before tax,439,468,478,464,490,700,603,735,730,861,747,920,798,Cr,Screener
Net Profit +,311,319,345,342,358,531,430,518,594,667,557,696,598,Cr,Screener
EPS in Rs,11.71,12.02,13.00,12.88,13.49,20.00,16.20,19.51,22.38,25.13,20.98,26.22,22.53,₹,Screener
