Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,85,85,85,83,83,83,83,83,83,83,83,83,84,Cr,Screener
Reserves,"9,244","10,549","11,993","11,518","11,725","12,601","15,109","16,900","18,253","20,391","24,157","28,773","31,429",Cr,Screener
Borrowings +,"2,666","3,126","3,085","2,355","2,589","1,065","1,457","1,214","2,205",51,793,"3,493","3,979",Cr,Screener
Other Liabilities +,"2,513","2,696","2,422","2,491","2,704","2,499","2,827","3,431","3,954","4,850","5,326","5,941","7,099",Cr,Screener
Total Liabilities,"14,508","16,456","17,585","16,447","17,100","16,248","19,476","21,630","24,496","25,375","30,359","38,291","42,591",Cr,Screener
Fixed Assets +,"2,748","3,249","4,438","4,842","4,717","4,683","4,434","5,844","6,150","7,195","7,589","8,232","9,813",Cr,Screener
CWIP,576,488,616,540,675,400,412,901,"1,200",924,"1,211","2,197","1,706",Cr,Screener
Investments,"2,806","3,862","5,076","3,102","3,636","3,934","5,486","4,649","4,937","7,440","7,321","13,194","14,416",Cr,Screener
Other Assets +,"8,377","8,856","7,455","7,963","8,072","7,231","9,145","10,235","12,208","9,815","14,239","14,668","16,655",Cr,Screener
Total Assets,"14,508","16,456","17,585","16,447","17,100","16,248","19,476","21,630","24,496","25,375","30,359","38,291","42,591",Cr,Screener
