Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"9,728","10,011","10,292","9,720","9,359","10,626","11,850","13,349","14,405","16,962","19,484","23,115","22,274",Cr,Screener
Operating Profit,"2,778","2,403","2,073","1,820","1,370","2,336","2,883","3,137","2,602","4,238","5,926","7,425","5,860",Cr,Screener
OPM %,29%,24%,20%,19%,15%,22%,24%,24%,18%,25%,30%,32%,26%,%,Screener
Other Income +,135,211,317,516,164,202,730,801,474,568,862,961,"1,537",Cr,Screener
Interest,78,64,64,57,63,57,48,47,38,17,22,110,125,Cr,Screener
Depreciation,380,490,650,735,774,781,789,835,814,923,976,"1,039","1,153",Cr,Screener
Profit before tax,"2,454","2,060","1,677","1,544",697,"1,701","2,776","3,056","2,224","3,866","5,791","7,236","6,119",Cr,Screener
Tax %,21%,18%,18%,10%,19%,25%,-6%,28%,27%,32%,25%,26%,,%,Screener
Net Profit +,"1,933","1,679","1,374","1,384",567,"1,277","2,938","2,186","1,623","2,613","4,342","5,349","4,640",Cr,Screener
EPS in Rs,22.73,19.71,16.11,16.70,6.83,15.38,35.36,26.29,19.51,31.38,52.06,64.11,55.60,₹,Screener
Dividend Payout %,16%,20%,25%,24%,59%,26%,14%,19%,31%,26%,15%,12%,,%,Screener
