Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"3,898","4,554","5,437","4,839","4,103","5,105","5,841","6,696","5,015","5,563","7,810","4,619","4,283",Cr,Screener
Expenses +,"3,222","3,493","3,210","3,210","3,447","3,726","3,888","3,975","3,823","4,120","3,972","4,138","4,183",Cr,Screener
Operating Profit,675,"1,061","2,228","1,629",656,"1,379","1,953","2,722","1,192","1,443","3,837",480,100,Cr,Screener
OPM %,17%,23%,41%,34%,16%,27%,33%,41%,24%,26%,49%,10%,2%,%,Screener
Other Income +,51,115,234,223,228,213,218,208,235,414,398,364,360,Cr,Screener
Interest,3,3,4,6,6,6,7,28,43,31,19,33,41,Cr,Screener
Depreciation,239,237,237,246,246,246,250,260,265,264,280,295,314,Cr,Screener
Profit before tax,485,937,"2,220","1,601",632,"1,339","1,914","2,641","1,119","1,562","3,936",516,104,Cr,Screener
Net Profit +,325,672,"1,639","1,193",475,"1,035","1,417","1,882",849,"1,201","2,961",387,91,Cr,Screener
EPS in Rs,3.90,8.08,19.69,14.30,5.70,12.41,16.99,22.56,10.18,14.39,35.48,4.64,1.09,₹,Screener
