Metric,Dec 2013,Dec 2014,Mar 2016 15m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"1,702","3,031","6,186","7,038","8,958","9,794","9,077","8,619","10,123","14,067","16,078","18,451","21,905",Cr,Screener
Operating Profit,314,734,"1,708","2,206","2,854","2,948","2,207","1,788","2,118","3,394","4,382","4,778","5,551",Cr,Screener
OPM %,18%,24%,28%,31%,32%,30%,24%,21%,21%,24%,27%,26%,25%,%,Screener
Other Income +,80,116,283,227,19,486,612,450,450,639,"1,166","1,399","1,636",Cr,Screener
Interest,0,2,2,3,3,3,11,9,10,13,19,24,29,Cr,Screener
Depreciation,30,50,137,153,222,299,378,446,446,512,559,684,761,Cr,Screener
Profit before tax,363,798,"1,853","2,277","2,648","3,133","2,430","1,783","2,112","3,508","4,970","5,469","6,397",Cr,Screener
Tax %,23%,30%,29%,31%,35%,34%,22%,25%,25%,25%,25%,22%,,%,Screener
Net Profit +,279,559,"1,309","1,560","1,713","2,054","1,904","1,330","1,586","2,623","3,749","4,279","4,930",Cr,Screener
EPS in Rs,10.30,20.62,48.20,57.33,62.84,75.31,69.71,48.65,58.01,95.90,136.94,156.08,179.75,₹,Screener
Dividend Payout %,29%,24%,21%,17%,18%,17%,18%,35%,36%,39%,37%,45%,,%,Screener
