Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"3,590","3,831","3,901","3,931","4,054","4,192","4,231","4,205","4,908","5,107","4,908","5,902","5,988",Cr,Screener
Expenses +,"2,733","2,887","2,888","2,833","2,939","3,037","3,053","3,101","3,684","3,846","3,677","4,433","4,398",Cr,Screener
Operating Profit,857,945,"1,013","1,097","1,115","1,155","1,179","1,105","1,224","1,261","1,231","1,469","1,590",Cr,Screener
OPM %,24%,25%,26%,28%,28%,28%,28%,26%,25%,25%,25%,25%,27%,%,Screener
Other Income +,191,203,335,276,250,307,417,337,300,354,659,340,284,Cr,Screener
Interest,4,3,3,5,5,6,4,5,6,9,7,7,7,Cr,Screener
Depreciation,131,142,135,131,138,155,158,169,168,189,186,188,199,Cr,Screener
Profit before tax,914,"1,002","1,209","1,238","1,221","1,302","1,433","1,268","1,350","1,418","1,697","1,614","1,668",Cr,Screener
Net Profit +,681,747,914,938,914,983,"1,088","1,010","1,056","1,125","1,306","1,208","1,290",Cr,Screener
EPS in Rs,24.89,27.31,33.42,34.28,33.38,35.91,39.71,36.85,38.53,41.04,47.64,44.04,47.03,₹,Screener
