Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"57,354","56,595","51,721","48,149","53,662","75,126","71,880","56,730","91,626","144,250","130,573","137,208","139,514",Cr,Screener
Operating Profit,"6,690","4,696","4,301","6,414","7,656","9,564","8,468","6,464","13,839","6,698","13,389","14,381","12,396",Cr,Screener
OPM %,12%,8%,8%,13%,14%,13%,12%,11%,15%,5%,10%,10%,9%,%,Screener
Other Income +,"1,249",924,870,873,992,"1,210","1,420","1,985","2,037","2,686","2,193","4,788","2,330",Cr,Screener
Interest,366,361,800,479,275,139,108,156,174,312,697,744,868,Cr,Screener
Depreciation,"1,171",974,"1,310","1,397","1,415","1,550","1,836","1,908","2,111","2,488","3,331","3,600","3,771",Cr,Screener
Profit before tax,"6,402","4,284","3,062","5,411","6,958","9,085","7,943","6,386","13,590","6,584","11,555","14,825","10,088",Cr,Screener
Tax %,32%,29%,27%,35%,34%,34%,17%,23%,24%,19%,24%,24%,,%,Screener
Net Profit +,"4,375","3,039","2,226","3,503","4,618","6,026","6,621","4,890","10,364","5,302","8,836","11,312","7,755",Cr,Screener
EPS in Rs,6.47,4.49,3.29,5.18,6.83,8.91,9.79,7.34,15.56,8.06,13.44,17.20,11.80,₹,Screener
Dividend Payout %,30%,25%,31%,54%,44%,27%,44%,45%,43%,62%,41%,44%,,%,Screener
