Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"35,365","32,843","32,212","31,807","34,236","32,318","33,674","32,912","34,937","35,685","34,769","35,008","34,051",Cr,Screener
Expenses +,"35,104","32,536","29,779","28,315","30,414","28,760","29,146","29,167","32,099","32,469","31,435","31,817","31,396",Cr,Screener
Operating Profit,261,307,"2,433","3,491","3,823","3,558","4,528","3,745","2,838","3,216","3,334","3,191","2,655",Cr,Screener
OPM %,1%,1%,8%,11%,11%,11%,13%,11%,8%,9%,10%,9%,8%,%,Screener
Other Income +,689,"1,017",268,561,812,638,372,713,"3,190",566,292,793,679,Cr,Screener
Interest,105,90,176,172,156,193,209,190,167,178,209,230,250,Cr,Screener
Depreciation,623,643,636,750,784,"1,161","1,049",815,832,903,883,930,"1,054",Cr,Screener
Profit before tax,223,591,"1,889","3,130","3,694","2,842","3,642","3,453","5,029","2,701","2,533","2,823","2,030",Cr,Screener
Net Profit +,246,604,"1,412","2,405","2,843","2,177","2,724","2,672","3,867","2,049","1,886","2,217","1,603",Cr,Screener
EPS in Rs,0.37,0.92,2.15,3.66,4.32,3.31,4.14,4.06,5.88,3.12,2.87,3.37,2.44,₹,Screener
