Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,92,92,93,93,131,132,132,132,132,132,133,136,136,Cr,Screener
Reserves,"10,736","11,091","13,778","16,138","44,658","41,828","37,560","42,816","48,484","46,823","51,982","54,262","54,878",Cr,Screener
Borrowings +,"1,302","1,115","1,839",701,"2,969","3,311","5,158","4,223","4,384","5,352","9,729","11,863","12,946",Cr,Screener
Other Liabilities +,"1,748","2,067","2,085","2,919","5,959","6,524","6,729","7,529","9,636","9,871","12,294","11,720","12,290",Cr,Screener
Total Liabilities,"13,878","14,365","17,796","19,851","53,718","51,794","49,579","54,700","62,636","62,177","74,138","77,981","80,251",Cr,Screener
Fixed Assets +,"3,548","5,188","6,963","6,887","10,817","11,232","12,234","10,966","14,858","16,220","17,105","23,730","23,527",Cr,Screener
CWIP,"1,807",450,318,375,745,"1,567","2,793","4,033","1,743","2,926","7,131","2,785","3,116",Cr,Screener
Investments,"5,604","5,350","7,100","8,996","35,547","31,128","27,542","33,640","38,691","33,897","39,212","39,635","41,665",Cr,Screener
Other Assets +,"2,919","3,377","3,416","3,592","6,609","7,867","7,009","6,060","7,345","9,135","10,689","11,830","11,943",Cr,Screener
Total Assets,"13,878","14,365","17,796","19,851","53,718","51,794","49,579","54,700","62,636","62,177","74,138","77,981","80,251",Cr,Screener
