Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"6,646","6,238","6,442","6,400","6,768","6,894","7,623","8,120","8,926","9,223","9,610","10,432",Cr,Screener
Expenses +,"6,220","5,564","5,848","5,878","6,241","6,569","7,298","7,850","8,705","8,839","9,244","9,953",Cr,Screener
Operating Profit,426,673,594,522,527,325,325,271,221,385,366,479,Cr,Screener
OPM %,6%,11%,9%,8%,8%,5%,4%,3%,2%,4%,4%,5%,%,Screener
Other Income +,116,116,760,120,-455,93,"1,244",102,113,144,"1,419",58,Cr,Screener
Interest,107,106,107,107,121,140,161,181,201,206,203,239,Cr,Screener
Depreciation,300,288,292,296,339,349,406,421,501,478,502,539,Cr,Screener
Profit before tax,135,396,955,239,-388,-70,"1,002",-230,-368,-156,"1,081",-241,Cr,Screener
Net Profit +,94,355,795,236,-441,-52,721,-169,-288,-118,805,-174,Cr,Screener
EPS in Rs,1.37,5.22,11.68,3.47,-6.70,-0.79,10.95,-2.56,-4.23,-1.74,11.82,-2.56,₹,Screener
