Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"12,398","11,637","11,451","12,059","12,531","12,077","11,784","12,615","13,274","13,432","13,073","13,829","15,239",Cr,Screener
Expenses +,"7,842","7,670","7,769","7,745","7,694","8,034","8,086","7,994","8,287","9,022","8,900","9,597","9,849",Cr,Screener
Operating Profit,"4,556","3,967","3,682","4,314","4,837","4,043","3,698","4,621","4,987","4,410","4,173","4,232","5,390",Cr,Screener
OPM %,37%,34%,32%,36%,39%,33%,31%,37%,38%,33%,32%,31%,35%,%,Screener
Other Income +,288,225,262,252,261,301,321,284,344,285,344,325,-657,Cr,Screener
Interest,33,34,29,33,29,34,47,30,38,41,73,78,63,Cr,Screener
Depreciation,686,599,506,583,678,604,571,559,613,577,571,560,630,Cr,Screener
Profit before tax,"4,125","3,559","3,409","3,950","4,391","3,706","3,401","4,316","4,680","4,077","3,873","3,919","4,040",Cr,Screener
Net Profit +,"3,196","2,844","2,596","2,966","3,349","2,763","2,479","3,216","3,526","3,045","2,888","2,657","2,982",Cr,Screener
EPS in Rs,11.78,10.48,9.57,10.93,12.34,10.18,9.14,11.85,12.99,11.22,10.64,9.79,10.99,₹,Screener
