Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Unit,Source
Equity Capital,295,309,312,315,316,318,335,344,346,361,363,367,Cr,Screener
Reserves,"18,722","24,521","27,643","30,655","33,805","39,328","64,930","77,011","85,812","108,422","119,888","133,618",Cr,Screener
Borrowings +,"139,128","158,828","183,973","208,599","237,763","279,732","319,716","366,214","419,102","441,365","499,681","568,222",Cr,Screener
Other Liabilities +,"9,375","11,703","13,504","14,383","16,993","17,929","13,929","15,208","18,834","17,451","20,930","24,568",Cr,Screener
Total Liabilities,"167,520","195,361","225,432","253,952","288,877","337,306","398,910","458,778","524,094","567,599","640,862","726,774",Cr,Screener
Fixed Assets +,234,238,280,677,665,"1,000","1,040",973,"2,239","2,196","4,130","4,286",Cr,Screener
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Investments,"12,207","13,613","13,913","14,294","15,345","20,053","30,717","46,240","64,944","68,637","68,592","97,718",Cr,Screener
Other Assets +,"155,079","181,510","211,239","238,980","272,867","316,254","367,153","411,565","456,910","496,765","568,141","624,770",Cr,Screener
Total Assets,"167,520","195,361","225,432","253,952","288,877","337,306","398,910","458,778","524,094","567,599","640,862","726,774",Cr,Screener
