Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Unit,Source
Sales +,"17,333","21,112","24,143","27,401","30,905","33,113","40,689","43,348","58,739","48,150","47,957","60,177",Cr,Screener
Operating Profit,"16,821","20,452","23,447","26,559","29,485","31,632","36,719","40,993","51,476","43,563","44,125","56,238",Cr,Screener
OPM %,97%,97%,97%,97%,95%,96%,90%,95%,88%,90%,92%,93%,%,Screener
Other Income +,22,35,55,70,51,47,18,30,24,26,33,47,Cr,Screener
Interest,"11,157","13,891","16,029","17,975","19,375","20,896","23,498","27,838","31,001","28,615","26,739","35,995",Cr,Screener
Depreciation,21,24,32,30,54,56,49,67,148,159,172,276,Cr,Screener
Profit before tax,"5,666","6,573","7,440","8,624","10,108","10,727","13,190","13,119","20,351","14,815","17,246","20,014",Cr,Screener
Tax %,27%,26%,27%,31%,30%,31%,17%,27%,13%,19%,20%,19%,%,Screener
Net Profit +,"4,123","4,848","5,440","5,990","7,093","7,443","10,959","9,632","17,770","12,027","13,742","16,239",Cr,Screener
EPS in Rs,27.91,31.35,34.86,38.04,44.90,46.85,65.39,55.96,102.59,66.67,75.80,88.52,₹,Screener
Dividend Payout %,39%,40%,40%,39%,38%,38%,31%,38%,20%,34%,40%,50%,%,Screener
