Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,480,501,506,513,519,545,548,551,555,558,760,765,"1,536",Cr,Screener
Reserves,"42,999","61,508","72,172","88,950","105,776","148,662","170,438","203,170","239,538","279,641","439,486","500,659","516,689",Cr,Screener
Deposits,"367,337","450,796","546,424","643,640","788,771","923,141","1,147,502","1,335,060","1,559,217","1,883,395","2,379,786","2,714,715","2,801,789",Cr,Screener
Borrowing,"39,439","45,214","84,969","74,029","123,105","117,085","144,629","135,487","184,817","206,766","662,153","547,931","509,597",Cr,Screener
Other Liabilities +,"41,344","32,484","36,725","56,709","45,764","55,108","67,394","72,602","84,407","95,722","135,438","146,129","173,397",Cr,Screener
Total Liabilities,"491,600","590,503","740,796","863,840","1,063,934","1,244,541","1,530,511","1,746,871","2,068,535","2,466,081","3,617,623","3,910,199","4,003,008",Cr,Screener
Fixed Assets +,"2,940","3,122","3,343","3,627","3,607","4,030","4,432","4,909","6,084","8,017","11,399","13,655","13,854",Cr,Screener
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Investments,"120,951","151,642","195,836","214,463","242,200","293,116","391,827","443,728","455,536","517,001","702,415","836,360","874,321",Cr,Screener
Other Assets +,"367,709","435,740","541,617","645,750","818,127","947,395","1,134,253","1,298,233","1,606,916","1,941,064","2,903,809","3,060,184","3,114,833",Cr,Screener
Total Assets,"491,600","590,503","740,796","863,840","1,063,934","1,244,541","1,530,511","1,746,871","2,068,535","2,466,081","3,617,623","3,910,199","4,003,008",Cr,Screener
