Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),20,%,Growth,Screener
Compounded Sales Growth (5 Years),21,%,Growth,Screener
Compounded Sales Growth (3 Years),33,%,Growth,Screener
Compounded Sales Growth (TTM),5,%,Growth,Screener
Compounded Profit Growth (10 Years),21,%,Growth,Screener
Compounded Profit Growth (5 Years),21,%,Growth,Screener
Compounded Profit Growth (3 Years),22,%,Growth,Screener
Compounded Profit Growth (TTM),10,%,Growth,Screener
Stock Price CAGR (10 Years),13,%,Valuation,Screener
Stock Price CAGR (5 Years),3,%,Valuation,Screener
Stock Price CAGR (3 Years),4,%,Valuation,Screener
Stock Price CAGR (1 Year),2,%,Valuation,Screener
Return on Equity (10 Years),16,%,Profitability,Screener
Return on Equity (5 Years),16,%,Profitability,Screener
Return on Equity (3 Years),16,%,Profitability,Screener
Return on Equity (Last Year),14,%,Profitability,Screener
