Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,206,207,207,223,223,222,222,222,222,222,222,222,222,Cr,Screener
Reserves,"36,526","37,049","41,955","47,110","49,228","48,336","45,272","49,842","54,206","58,267","63,485","69,984","73,054",Cr,Screener
Borrowings +,"27,020","29,007","28,676","27,150","20,297","19,534","23,367","20,240","19,421","13,071","8,376","11,903","12,841",Cr,Screener
Other Liabilities +,"10,018","9,739","9,604","12,153","12,981","13,410","11,197","17,643","25,208","25,362","24,953","26,818","32,546",Cr,Screener
Total Liabilities,"73,770","76,001","80,442","86,635","82,729","81,502","80,058","87,947","99,057","96,922","97,036","108,927","118,663",Cr,Screener
Fixed Assets +,"18,055","26,060","32,243","34,384","34,364","33,523","33,368","32,390","32,300","32,103","33,214","34,036","35,573",Cr,Screener
CWIP,"17,277","10,744","3,079",712,737,982,"1,282","1,709","1,581","2,987","4,040","7,675","7,020",Cr,Screener
Investments,"21,907","21,251","27,321","29,332","27,025","25,494","24,639","31,731","29,655","29,766","29,735","33,991","34,411",Cr,Screener
Other Assets +,"16,531","17,946","17,799","22,207","20,603","21,503","20,769","22,117","35,521","32,066","30,047","33,225","41,659",Cr,Screener
Total Assets,"73,770","76,001","80,442","86,635","82,729","81,502","80,058","87,947","99,057","96,922","97,036","108,927","118,663",Cr,Screener
