Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"27,851","34,525","34,271","36,937","42,809","45,749","40,242","42,701","67,653","76,878","83,009","93,309","103,424",Cr,Screener
Operating Profit,"2,479","3,423","3,355","4,812","5,124","4,246","3,664","4,094","11,198","7,422","7,500","11,161","14,125",Cr,Screener
OPM %,9%,10%,10%,13%,12%,9%,9%,10%,17%,10%,9%,12%,14%,%,Screener
Other Income +,741,299,968,"1,092",623,940,675,657,428,627,724,"1,329","1,094",Cr,Screener
Interest,712,"1,637","2,390","2,323","1,901","1,683","1,679","1,469","1,417","1,300","1,268",939,846,Cr,Screener
Depreciation,823,837,"1,282","1,428","1,617","1,693","1,708","1,708","1,752","1,874","1,961","2,029","2,205",Cr,Screener
Profit before tax,"1,685","1,247",651,"2,153","2,229","1,810",952,"1,574","8,457","4,875","4,995","9,522","12,168",Cr,Screener
Tax %,16%,26%,15%,28%,36%,33%,35%,37%,35%,32%,26%,33%,,%,Screener
Net Profit +,"1,413",925,552,"1,557","1,436","1,205",620,993,"5,507","3,326","3,697","6,387","8,706",Cr,Screener
EPS in Rs,6.85,4.48,2.67,6.94,6.40,5.37,2.76,4.42,24.51,14.80,16.45,28.42,38.75,₹,Screener
Dividend Payout %,15%,22%,37%,16%,19%,22%,36%,67%,16%,20%,21%,17%,,%,Screener
