Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"18,983","19,995","19,904","20,676","20,289","22,140","22,155","22,262","23,776","25,116","24,264","24,780","29,264",Cr,Screener
Expenses +,"17,640","18,220","18,343","18,920","18,326","19,920","19,406","19,513","21,112","22,117","21,126","21,040","25,016",Cr,Screener
Operating Profit,"1,343","1,775","1,561","1,756","1,963","2,220","2,749","2,749","2,664","2,999","3,138","3,740","4,248",Cr,Screener
OPM %,7%,9%,8%,8%,10%,10%,12%,12%,11%,12%,13%,15%,15%,%,Screener
Other Income +,137,166,213,199,133,179,155,825,140,209,313,250,322,Cr,Screener
Interest,309,336,352,338,317,261,244,234,226,235,185,174,252,Cr,Screener
Depreciation,464,510,482,489,483,507,499,492,514,524,542,564,575,Cr,Screener
Profit before tax,707,"1,095",940,"1,128","1,296","1,631","2,161","2,848","2,064","2,449","2,724","3,252","3,743",Cr,Screener
Net Profit +,498,832,600,847,838,"1,412","1,471","1,891","1,463","1,561","1,862","2,266","3,017",Cr,Screener
EPS in Rs,2.22,3.70,2.67,3.77,3.73,6.28,6.55,8.41,6.51,6.95,8.29,10.08,13.43,₹,Screener
