Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,216,216,216,216,216,216,216,235,235,235,235,235,235,Cr,Screener
Reserves,"3,061","3,508","6,063","6,274","6,859","7,443","7,815","47,199","48,525","49,986","50,738","48,918","48,715",Cr,Screener
Borrowings +,0,0,0,0,0,0,0,943,971,"1,039","1,374","1,537","1,623",Cr,Screener
Other Liabilities +,"9,721","9,909","7,641","8,261","10,074","10,206","11,571","19,739","20,006","20,565","24,729","27,623","28,903",Cr,Screener
Total Liabilities,"12,998","13,634","13,920","14,751","17,149","17,865","19,602","68,116","69,737","71,825","77,076","78,313","79,476",Cr,Screener
Fixed Assets +,"2,422","2,458","2,914","4,024","4,142","4,343","5,056","51,027","51,034","51,405","52,379","52,907","53,149",Cr,Screener
CWIP,320,479,386,203,430,373,513,623,901,"1,020",915,956,958,Cr,Screener
Investments,"3,094","3,278","2,780","3,779","3,111","2,949","1,500","2,995","4,122","3,794","5,493","4,602","7,685",Cr,Screener
Other Assets +,"7,162","7,420","7,840","6,745","9,466","10,200","12,533","13,471","13,680","15,606","18,289","19,848","17,684",Cr,Screener
Total Assets,"12,998","13,634","13,920","14,751","17,149","17,865","19,602","68,116","69,737","71,825","77,076","78,313","79,476",Cr,Screener
