Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"28,019","30,806","31,061","31,890","34,525","38,224","38,785","45,996","51,193","59,144","60,469","61,469","62,213",Cr,Screener
Operating Profit,"4,488","5,205","5,749","6,047","7,276","8,637","9,600","11,324","12,503","13,632","14,190","14,289","14,283",Cr,Screener
OPM %,16%,17%,19%,19%,21%,23%,25%,25%,24%,23%,23%,23%,23%,%,Screener
Other Income +,837,"1,285",533,767,507,437,536,286,359,578,884,"1,599","5,340",Cr,Screener
Interest,36,17,15,22,20,28,106,108,98,101,302,364,375,Cr,Screener
Depreciation,261,287,321,396,478,524,938,"1,012","1,025","1,030","1,097","1,224","1,224",Cr,Screener
Profit before tax,"5,028","6,187","5,946","6,396","7,285","8,522","9,092","10,490","11,739","13,079","13,675","14,300","18,024",Cr,Screener
Tax %,23%,30%,30%,30%,28%,29%,26%,24%,25%,24%,26%,26%,,%,Screener
Net Profit +,"3,867","4,315","4,137","4,490","5,237","6,036","6,738","7,954","8,818","9,962","10,114","10,644","14,990",Cr,Screener
EPS in Rs,17.88,19.95,19.12,20.75,24.19,27.88,31.13,33.85,37.53,42.40,43.05,45.30,63.80,₹,Screener
Dividend Payout %,73%,75%,84%,82%,82%,79%,80%,120%,91%,92%,98%,117%,,%,Screener
