Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"15,228","14,893","15,148","15,276","15,188","14,857","15,339","15,508","15,146","15,214","15,931","15,263","15,805",Cr,Screener
Expenses +,"11,691","11,422","11,627","11,582","11,648","11,422","11,733","11,861","11,582","11,748","12,373","11,644","12,165",Cr,Screener
Operating Profit,"3,537","3,471","3,521","3,694","3,540","3,435","3,606","3,647","3,564","3,466","3,558","3,619","3,640",Cr,Screener
OPM %,23%,23%,23%,24%,23%,23%,24%,24%,24%,23%,22%,24%,23%,%,Screener
Other Income +,126,240,148,278,255,203,209,293,814,276,120,350,"4,594",Cr,Screener
Interest,26,24,47,72,81,102,85,99,102,75,110,106,84,Cr,Screener
Depreciation,260,262,257,269,282,289,298,305,285,313,324,288,299,Cr,Screener
Profit before tax,"3,377","3,425","3,365","3,631","3,432","3,247","3,432","3,536","3,991","3,354","3,244","3,575","7,851",Cr,Screener
Net Profit +,"2,505","2,552","2,472","2,717","2,519","2,406","2,538","2,612","3,001","2,493","2,732","2,690","7,075",Cr,Screener
EPS in Rs,10.66,10.86,10.52,11.56,10.72,10.24,10.80,11.12,12.77,10.61,11.63,11.45,30.11,₹,Screener
