Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"1,155","1,160","1,163","1,165","1,286","1,289","1,295","1,383","1,390","1,397","1,405","1,425","1,405",Cr,Screener
Reserves,"72,058","79,270","88,572","98,786","103,873","107,079","115,210","146,126","169,122","199,319","236,995","290,652","235,589",Cr,Screener
Deposits,"408,586","447,495","448,528","490,039","560,975","652,920","770,969","932,522","1,064,572","1,180,841","1,412,825","1,610,348","1,412,825",Cr,Screener
Borrowing,"78,086","86,485","147,705","147,556","182,859","165,320","162,897","91,631","107,231","119,325","124,968","123,538","124,968",Cr,Screener
Other Liabilities +,"34,756","31,720","34,726","34,245","30,196","37,851","47,995","58,770","68,983","83,325","95,323","92,277","96,728",Cr,Screener
Total Liabilities,"594,642","646,129","720,695","771,791","879,189","964,459","1,098,365","1,230,433","1,411,298","1,584,207","1,871,515","2,118,240","1,871,515",Cr,Screener
Fixed Assets +,"4,678","4,726","7,577","7,805","7,904","7,931","8,410","8,878","9,374","9,600","10,860","12,839","10,860",Cr,Screener
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Investments,"177,022","158,129","160,412","161,507","202,994","207,733","249,531","281,287","310,241","362,330","461,942","504,757","461,942",Cr,Screener
Other Assets +,"412,942","483,275","552,706","602,480","668,291","748,795","840,423","940,269","1,091,683","1,212,277","1,398,712","1,600,644","1,398,712",Cr,Screener
Total Assets,"594,642","646,129","720,695","771,791","879,189","964,459","1,098,365","1,230,433","1,411,298","1,584,207","1,871,515","2,118,240","1,871,515",Cr,Screener
