Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),13,%,Growth,Screener
Compounded Sales Growth (5 Years),17,%,Growth,Screener
Compounded Sales Growth (3 Years),24,%,Growth,Screener
Compounded Sales Growth (TTM),7,%,Growth,Screener
Compounded Profit Growth (10 Years),16,%,Growth,Screener
Compounded Profit Growth (5 Years),43,%,Growth,Screener
Compounded Profit Growth (3 Years),26,%,Growth,Screener
Compounded Profit Growth (TTM),8,%,Growth,Screener
Stock Price CAGR (10 Years),21,%,Valuation,Screener
Stock Price CAGR (5 Years),18,%,Valuation,Screener
Stock Price CAGR (3 Years),17,%,Valuation,Screener
Stock Price CAGR (1 Year),15,%,Valuation,Screener
Return on Equity (10 Years),13,%,Profitability,Screener
Return on Equity (5 Years),17,%,Profitability,Screener
Return on Equity (3 Years),18,%,Profitability,Screener
Return on Equity (Last Year),18,%,Profitability,Screener
