Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,526,529,595,598,600,603,694,773,775,776,778,779,779,Cr,Screener
Reserves,"8,517","10,115","17,101","20,048","23,241","26,083","34,013","42,592","46,923","53,846","62,019","63,714","63,855",Cr,Screener
Deposits,"61,571","75,478","93,000","127,572","151,639","194,868","202,040","256,205","293,681","336,438","384,793","411,078","389,787",Cr,Screener
Borrowing,"13,693","19,274","24,996","21,454","38,289","47,321","60,754","51,323","47,323","49,011","47,611","53,704","45,350",Cr,Screener
Other Liabilities +,"2,719","6,390","7,205","8,976","7,856","8,944","9,558","12,080","13,273","17,733","19,734","24,744","27,591",Cr,Screener
Total Liabilities,"87,026","111,787","142,897","178,648","221,626","277,819","307,058","362,973","401,975","457,804","514,935","554,018","527,363",Cr,Screener
Fixed Assets +,991,"1,120","1,218","1,307","1,313","1,688","1,742","1,734","1,754","1,857","2,001","2,168","2,445",Cr,Screener
CWIP,25,38,37,28,25,22,78,75,95,135,197,188,0,Cr,Screener
Investments,"21,563","22,878","34,054","36,702","50,077","59,266","59,980","69,695","70,971","83,116","106,527","114,497","124,048",Cr,Screener
Other Assets +,"64,447","87,751","107,587","140,611","170,211","216,843","245,257","291,469","329,155","372,695","406,211","437,166","400,870",Cr,Screener
Total Assets,"87,026","111,787","142,897","178,648","221,626","277,819","307,058","362,973","401,975","457,804","514,935","554,018","527,363",Cr,Screener
